,Power,Scan Speed,H_star,Hatch Space,reward
114,50.0,0.9368421052631579,16.45810778766411,0.12039473684210525,-1.0
115,50.0,0.9368421052631579,15.686633985117359,0.1263157894736842,-1.0
116,50.0,0.9368421052631579,14.984247388768818,0.13223684210526315,-1.0
117,50.0,0.9368421052631579,14.342065357821582,0.1381578947368421,-1.0
118,50.0,0.9368421052631579,13.752665411609739,0.14407894736842103,-1.0
119,50.0,0.9368421052631579,13.209797040098827,0.15,-1.0
120,50.0,1.0842105263157893,49.1170785441167,0.0375,-1.0
121,50.0,1.0842105263157893,42.419295106282604,0.043421052631578944,-1.0
122,50.0,1.0842105263157893,37.32897969352869,0.049342105263157895,-1.0
123,50.0,1.0842105263157893,33.32944615493633,0.05526315789473684,-1.0
124,50.0,1.0842105263157893,30.104015881877974,0.061184210526315785,-1.0
125,50.0,1.0842105263157893,27.44777918641816,0.06710526315789472,-1.0
126,50.0,1.0842105263157893,25.222283576708573,0.07302631578947369,-1.0
127,50.0,1.0842105263157893,23.330612308455432,0.07894736842105263,-1.0
128,50.0,1.0842105263157893,21.702895170656216,0.08486842105263157,-1.0
129,50.0,1.0842105263157893,20.287488963874285,0.09078947368421052,-1.0
130,50.0,1.0842105263157893,19.045397802820762,0.09671052631578947,-1.0
131,50.0,1.0842105263157893,17.946624852658026,0.10263157894736841,-1.0
132,50.0,1.0842105263157893,16.967718042513038,0.10855263157894737,-1.0
133,50.0,1.0842105263157893,16.090077454107195,0.11447368421052631,-1.0
134,50.0,1.0842105263157893,15.298762169478973,0.12039473684210525,-1.0
135,50.0,1.0842105263157893,14.581632692784646,0.1263157894736842,-1.0
136,50.0,1.0842105263157893,13.928723766242047,0.13223684210526315,-1.0
137,50.0,1.0842105263157893,13.331778461974531,0.1381578947368421,-1.0
138,50.0,1.0842105263157893,12.783897155318046,0.14407894736842103,-1.0
139,50.0,1.0842105263157893,12.279269636029175,0.15,-1.0
140,50.0,1.2315789473684209,46.08485324011091,0.0375,-1.0
141,50.0,1.2315789473684209,39.80055507100488,0.043421052631578944,-1.0
142,50.0,1.2315789473684209,35.02448846248429,0.049342105263157895,-1.0
143,50.0,1.2315789473684209,31.271864698646695,0.05526315789473684,-1.0
